layer_index,name,args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_idx,avg_mem_grp_size,min_comm_grp_id,min_comm_grp_sum,min_comm_grp_last_weight,compute_density_ops
69,layer2_3_conv1,"(layer2_2_relu_2,)",327680,81920,65536,0,0,0,call_module,layer2.3.conv1,Conv2d,"[10, 512, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128, 512, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
70,layer2_3_bn1,"(layer2_3_conv1,)",81920,81920,256,0,0,0,call_module,layer2.3.bn1,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
71,layer2_3_relu,"(layer2_3_bn1,)",81920,81920,0,0,0,0,call_module,layer2.3.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
72,layer2_3_conv2,"(layer2_3_relu,)",81920,81920,147456,0,0,0,call_module,layer2.3.conv2,Conv2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128, 128, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,94371840.0
73,layer2_3_bn2,"(layer2_3_conv2,)",81920,81920,256,0,0,0,call_module,layer2.3.bn2,BatchNorm2d,"[10, 128, 8, 8]","[10, 128, 8, 8]","{'weight': torch.Size([128]), 'bias': torch.Size([128])}",{},[4],FWD,1,3211200,0,3210688,40960,1475584.0
74,layer2_3_relu_1,"(layer2_3_bn2,)",81920,81920,0,0,0,0,call_module,layer2.3.relu,ReLU,"[10, 128, 8, 8]","[10, 128, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,327680.0
75,layer2_3_conv3,"(layer2_3_relu_1,)",81920,327680,65536,0,0,0,call_module,layer2.3.conv3,Conv2d,"[10, 128, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512, 128, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
76,layer2_3_bn3,"(layer2_3_conv3,)",327680,327680,1024,0,0,0,call_module,layer2.3.bn3,BatchNorm2d,"[10, 512, 8, 8]","[10, 512, 8, 8]","{'weight': torch.Size([512]), 'bias': torch.Size([512])}",{},[4],FWD,1,3211200,0,3210688,40960,5902336.0
77,add_6,"(layer2_3_bn3, layer2_2_relu_2)",327680,327680,0,0,0,0,call_function,<built-in function add>,,"[10, 512, 8, 8]","[10, 512, 8, 8]",0,{},[4],FWD,1,3211200,0,3210688,40960,327680.0
78,layer2_3_relu_2,"(add_6,)",327680,327680,0,0,0,0,call_module,layer2.3.relu,ReLU,"[10, 512, 8, 8]","[10, 512, 8, 8]",{},{},[4],FWD,1,3211200,0,3210688,40960,1310720.0
79,layer3_0_conv1,"(layer2_3_relu_2,)",327680,40960,131072,0,0,0,call_module,layer3.0.conv1,Conv2d,"[10, 512, 8, 8]","[10, 256, 4, 4]","{'weight': torch.Size([256, 512, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,20971520.0
80,layer3_0_bn1,"(layer3_0_conv1,)",40960,40960,512,0,0,0,call_module,layer3.0.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,1,3211200,0,3210688,40960,739328.0
81,layer3_0_relu,"(layer3_0_bn1,)",40960,40960,0,0,0,0,call_module,layer3.0.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,1,3211200,0,3210688,40960,163840.0
82,layer3_0_conv2,"(layer3_0_relu,)",40960,40960,589824,0,0,0,call_module,layer3.0.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],FWD,1,3211200,0,3210688,40960,94371840.0
83,layer3_0_bn2,"(layer3_0_conv2,)",40960,40960,512,0,0,0,call_module,layer3.0.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,1,3211200,0,3210688,40960,739328.0
84,layer3_0_relu_1,"(layer3_0_bn2,)",40960,40960,0,0,0,0,call_module,layer3.0.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,1,3211200,0,3210688,40960,163840.0
85,layer3_0_conv3,"(layer3_0_relu_1,)",40960,163840,262144,0,0,0,call_module,layer3.0.conv3,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
86,layer3_0_bn3,"(layer3_0_conv3,)",163840,163840,2048,0,0,0,call_module,layer3.0.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],FWD,1,3211200,0,3210688,40960,2957312.0
87,layer3_0_downsample_0,"(layer2_3_relu_2,)",327680,163840,524288,0,0,0,call_module,layer3.0.downsample.0,Conv2d,"[10, 512, 8, 8]","[10, 1024, 4, 4]","{'weight': torch.Size([1024, 512, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,83886080.0
88,layer3_0_downsample_1,"(layer3_0_downsample_0,)",163840,163840,2048,0,0,0,call_module,layer3.0.downsample.1,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],FWD,1,3211200,0,3210688,40960,2957312.0
89,add_7,"(layer3_0_bn3, layer3_0_downsample_1)",163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],FWD,1,3211200,0,3210688,40960,163840.0
90,layer3_0_relu_2,"(add_7,)",163840,163840,0,0,0,0,call_module,layer3.0.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],FWD,1,3211200,0,3210688,40960,655360.0
91,layer3_1_conv1,"(layer3_0_relu_2,)",163840,40960,262144,0,0,0,call_module,layer3.1.conv1,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],FWD,1,3211200,0,3210688,40960,41943040.0
92,layer3_1_bn1,"(layer3_1_conv1,)",40960,40960,512,0,0,0,call_module,layer3.1.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,1,3211200,1,5848064,20480,739328.0
93,layer3_1_relu,"(layer3_1_bn1,)",40960,40960,0,0,0,0,call_module,layer3.1.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,1,3211200,1,5848064,20480,163840.0
94,layer3_1_conv2,"(layer3_1_relu,)",40960,40960,589824,0,0,0,call_module,layer3.1.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],FWD,2,3351552,1,5848064,20480,94371840.0
95,layer3_1_bn2,"(layer3_1_conv2,)",40960,40960,512,0,0,0,call_module,layer3.1.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],FWD,2,3351552,1,5848064,20480,739328.0
96,layer3_1_relu_1,"(layer3_1_bn2,)",40960,40960,0,0,0,0,call_module,layer3.1.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],FWD,2,3351552,1,5848064,20480,163840.0
97,layer3_1_conv3,"(layer3_1_relu_1,)",40960,163840,262144,0,0,0,call_module,layer3.1.conv3,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],FWD,2,3351552,1,5848064,20480,41943040.0
98,layer3_1_bn3,"(layer3_1_conv3,)",163840,163840,2048,0,0,0,call_module,layer3.1.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],FWD,2,3351552,1,5848064,20480,2957312.0
