global_index,avg_mem_grp_idx,layer_index,name,args,dp_args,input_#,output_#,Param_#,dp_index,pp_index,tp_index,opcode,target,layer_type,input_shape,output_shape,param_shape,kwargs,dtype_size,direction,avg_mem_grp_size,compute_density_ops
66,2,110,layer3_3_conv1_0_0_bkwd,"('layer3_3_bn1_0_0_bkwd',)",[],40960,163840,262144,0,0,0,call_module,layer3.3.conv1,Conv2d,"[10, 256, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([256, 1024, 1, 1])}",{},[4],BKWD,3351552,83886080.0
67,2,109,layer3_2_relu_2_0_0_bkwd,"('layer3_3_conv1_0_0_bkwd', 'add_10_0_0_bkwd')",[],163840,163840,0,0,0,0,call_module,layer3.2.relu,ReLU,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",{},{},[4],BKWD,3351552,655360.0
68,2,108,add_9_0_0_bkwd,"('layer3_2_relu_2_0_0_bkwd',)",[],163840,163840,0,0,0,0,call_function,<built-in function add>,,"[10, 1024, 4, 4]","[10, 1024, 4, 4]",0,{},[4],BKWD,3351552,163840.0
69,2,107,layer3_2_bn3_0_0_bkwd,"('add_9_0_0_bkwd',)",[],163840,163840,2048,0,0,0,call_module,layer3.2.bn3,BatchNorm2d,"[10, 1024, 4, 4]","[10, 1024, 4, 4]","{'weight': torch.Size([1024]), 'bias': torch.Size([1024])}",{},[4],BKWD,3351552,5914624.0
70,2,106,layer3_2_conv3_0_0_bkwd,"('layer3_2_bn3_0_0_bkwd',)",[],163840,40960,262144,0,0,0,call_module,layer3.2.conv3,Conv2d,"[10, 1024, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([1024, 256, 1, 1])}",{},[4],BKWD,3351552,83886080.0
71,2,105,layer3_2_relu_1_0_0_bkwd,"('layer3_2_conv3_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.2.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,3351552,163840.0
72,2,104,layer3_2_bn2_0_0_bkwd,"('layer3_2_relu_1_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.2.bn2,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,3351552,1478656.0
73,2,103,layer3_2_conv2_0_0_bkwd,"('layer3_2_bn2_0_0_bkwd',)",[],40960,40960,589824,0,0,0,call_module,layer3.2.conv2,Conv2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256, 256, 3, 3])}",{},[4],BKWD,3351552,188743680.0
74,2,102,layer3_2_relu_0_0_bkwd,"('layer3_2_conv2_0_0_bkwd',)",[],40960,40960,0,0,0,0,call_module,layer3.2.relu,ReLU,"[10, 256, 4, 4]","[10, 256, 4, 4]",{},{},[4],BKWD,3351552,163840.0
75,2,101,layer3_2_bn1_0_0_bkwd,"('layer3_2_relu_0_0_bkwd',)",[],40960,40960,512,0,0,0,call_module,layer3.2.bn1,BatchNorm2d,"[10, 256, 4, 4]","[10, 256, 4, 4]","{'weight': torch.Size([256]), 'bias': torch.Size([256])}",{},[4],BKWD,3351552,1478656.0
